2024-05-16 17:25:09,667.dgraves_emit_data.INFO ==================================================
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Today is 2024-05-16 at 05:25 PM
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Running on: nt Windows 11
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Python version:  3.12.2
2024-05-16 17:25:09,667.dgraves_emit_data.INFO Python path: C:\Users\derek\AppData\Local\Programs\Python\Python312
2024-05-16 17:25:09,668.dgraves_emit_data.INFO Working dir: C:\Users\derek\OneDrive\Documents\Streaming Data\Week 3\streaming-03-bonus-dgraves
2024-05-16 17:25:09,668.dgraves_emit_data.INFO ==================================================
2024-05-16 17:25:09,678.dgraves_emit_data.INFO  [x] Sent ﻿_id,Scientific_Name,Common_Name,Date,Year,Month,Day,Time,Country,Country_State_County,State,County,Locality,Latitude,Longitude,Parent_Species,target_H5_HPAI
2024-05-16 17:27:22,894.dgraves_emit_data.INFO  [x] Sent 63,Accipiter nisus,Eurasian Sparrowhawk,2015-12-24T00:00:00,2015,12,24,930,Ireland,IE-L-DN,Leinster,Dublin,Rogerstown Estuary--North Hide,53.5037,-6.1699,Accipiter nisus,0
2024-05-16 17:27:24,069.dgraves_emit_data.INFO  [x] Sent 64,Accipiter nisus,Eurasian Sparrowhawk,2015-12-24T00:00:00,2015,12,24,930,Ireland,IE-L-DN,Leinster,Dublin,Rogerstown Estuary--North Hide,53.5037,-6.1699,Accipiter nisus,0
2024-05-16 17:27:26,336.dgraves_emit_data.INFO  [x] Sent 65,Larus delawarensis,Ring-billed Gull,2015-12-31T00:00:00,2015,12,31,845,Ireland,IE-L-LH,Leinster,Louth,Dundalk Bay--Lurgangreen (hide and saltmarsh),53.9518,-6.3795,Larus delawarensis,0
2024-05-16 17:27:27,717.dgraves_emit_data.INFO  [x] Sent 66,Larus delawarensis,Ring-billed Gull,2015-12-31T00:00:00,2015,12,31,845,Ireland,IE-L-LH,Leinster,Louth,Dundalk Bay--Lurgangreen (hide and saltmarsh),53.9518,-6.3795,Larus delawarensis,0
2024-05-16 17:27:30,300.dgraves_emit_data.INFO  [x] Sent 67,Anser brachyrhynchus,Pink-footed Goose,2015-12-31T00:00:00,2015,12,31,845,Ireland,IE-L-LH,Leinster,Louth,Dundalk Bay--Lurgangreen (hide and saltmarsh),53.9518,-6.3795,Anser brachyrhynchus,1
2024-05-16 17:27:32,271.dgraves_emit_data.INFO  [x] Sent 68,Anser brachyrhynchus,Pink-footed Goose,2015-12-31T00:00:00,2015,12,31,845,Ireland,IE-L-LH,Leinster,Louth,Dundalk Bay--Lurgangreen (hide and saltmarsh),53.9518,-6.3795,Anser brachyrhynchus,1
2024-05-16 17:27:34,045.dgraves_emit_data.INFO  [x] Sent 69,Calidris minutilla,Least Sandpiper,2011-09-27T00:00:00,2011,9,27,0,Ireland,IE-M-KY,Munster,Kerry,Carrahane,52.3235,-9.8317,Calidris minutilla,0
2024-05-16 17:27:35,682.dgraves_emit_data.INFO  [x] Sent 70,Calidris subruficollis,Buff-breasted Sandpiper,2011-09-27T00:00:00,2011,9,27,0,Ireland,IE-M-KY,Munster,Kerry,Carrahane,52.3235,-9.8317,Calidris subruficollis,0
2024-05-16 17:27:38,093.dgraves_emit_data.INFO  [x] Sent 71,Pica pica,Eurasian Magpie,2012-06-08T00:00:00,2012,6,8,1800,Ireland,IE-M-CE,Munster,Clare,Doolin, County Clare,53.0182,-9.3719,Pica pica,1
2024-05-16 17:27:40,478.dgraves_emit_data.INFO  [x] Sent 72,Motacilla sp.,wagtail sp.,2016-01-18T00:00:00,2016,1,18,900,Ireland,IE-L-DN,Leinster,Dublin,River Dodder (Ringsend to Ballsbridge),53.3416,-6.2286,Motacilla sp.,0
2024-05-16 17:27:41,808.dgraves_emit_data.INFO  [x] Sent 73,Motacilla sp.,wagtail sp.,2016-01-18T00:00:00,2016,1,18,900,Ireland,IE-L-DN,Leinster,Dublin,River Dodder (Ringsend to Ballsbridge),53.3416,-6.2286,Motacilla sp.,0
2024-05-16 17:27:43,544.dgraves_emit_data.INFO  [x] Sent 74,Phalacrocorax aristotelis,European Shag,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Phalacrocorax aristotelis,0
2024-05-16 17:27:45,413.dgraves_emit_data.INFO  [x] Sent 75,Haematopus ostralegus,Eurasian Oystercatcher,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Haematopus ostralegus,0
2024-05-16 17:27:46,645.dgraves_emit_data.INFO  [x] Sent 76,Morus bassanus,Northern Gannet,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Morus bassanus,0
2024-05-16 17:27:48,369.dgraves_emit_data.INFO  [x] Sent 77,Morus bassanus,Northern Gannet,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Morus bassanus,0
2024-05-16 17:27:50,052.dgraves_emit_data.INFO  [x] Sent 78,Alca torda,Razorbill,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Alca torda,0
2024-05-16 17:27:52,189.dgraves_emit_data.INFO  [x] Sent 79,Alca torda,Razorbill,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Alca torda,0
2024-05-16 17:27:54,660.dgraves_emit_data.INFO  [x] Sent 80,Larus marinus,Great Black-backed Gull,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Larus marinus,1
2024-05-16 17:27:57,051.dgraves_emit_data.INFO  [x] Sent 81,Larus marinus,Great Black-backed Gull,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Larus marinus,1
2024-05-16 17:27:59,299.dgraves_emit_data.INFO  [x] Sent 82,Fratercula arctica,Atlantic Puffin,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Fratercula arctica,0
2024-05-16 17:28:02,089.dgraves_emit_data.INFO  [x] Sent 83,Fratercula arctica,Atlantic Puffin,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Fratercula arctica,0
2024-05-16 17:28:04,037.dgraves_emit_data.INFO  [x] Sent 84,Uria aalge,Common Murre,2014-06-15T00:00:00,2014,6,15,1220,Ireland,IE-L-WX,Leinster,Wexford,Great Saltee Island,52.1173,-6.6151,Uria aalge,0
2024-05-16 17:28:05,891.dgraves_emit_data.INFO  [x] Sent 85,Certhia familiaris,Eurasian Treecreeper,2011-04-26T00:00:00,2011,4,26,0,Ireland,IE-M-CE,Munster,Clare,Ballynalackan,53.0486,-9.3382,Certhia familiaris,0
2024-05-16 17:28:08,512.dgraves_emit_data.INFO  [x] Sent 86,Cyanistes caeruleus,Eurasian Blue Tit,2011-04-28T00:00:00,2011,4,28,0,Ireland,IE-M-KY,Munster,Kerry,Pax House,52.1339,-10.2573,Cyanistes caeruleus,0
2024-05-16 17:28:10,703.dgraves_emit_data.INFO  [x] Sent 87,Alauda arvensis,Eurasian Skylark,2011-04-27T00:00:00,2011,4,27,800,Ireland,IE-M-CE,Munster,Clare,Ballynalackan,53.0486,-9.3382,Alauda arvensis,0
